ResponseID,Campus,Position,StudyArea,ID,I01,I02,I03,I04,I05,I06,I07,I08,I09,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,I25,I26,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,Comment1,HowOftenL,HowOftenC,HowOftenW,NA1,NA2,NA3,NA4,NA5,NA6,NA7,NA8,NA9,NA10,NA11,NA12,NA13,NA14,NA15,NA16,NA17,NA18,NA19,NA20,NA21,NA22,NA23,NA24,NA25,NA26,NPS1
765,1,14,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,1,6,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,1,13,4,2,5,6,6,,,,,,,,,,,,,,,,,,,,,,,,4,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
570,1,1,2,2,6,5,4,,,,,,,,,,,,,,,,,,,,,,,,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,More tables and chairs for studying space at level 5,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,9
264,1,6,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,6,5,4,5,5,5,6,3,6,6,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
686,1,6,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,5,6,6,6,6,6,6,6,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,2,5,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
1232,1,4,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,7,7,7,7,7,7,7,7,5,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1514,1,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,7,6,7,7,7,7,7,7,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3179,1,6,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6,6,5,7,7,6,6,6,6,6,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
910,1,10,6,2,,,,,,7,,,,,,,6,,,,,,,,,,,,,,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,1,1,1,1,1,,,,,,,,,,,,,,,
2571,1,3,4,1,7,,6,,7,7,,,,,,,,,,,,,,,,,,,,,7,,5,,6,7,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,
3064,1,13,7,2,6,,6,,,,,7,,,6,,,,,,,,,,,,,,,,5,,5,,,,,6,,,3,,,,,,,,,,,,,,,,,,,,,,1,,1,1,1,1,,1,1,,1,1,,,,,,,,,,,,,,
541,1,1,1,2,6,6,4,,,7,,,,,,6,5,,,,,,,,,,,,,,4,4,5,,,4,,,,,,6,6,,,,,,,,,,,,,,,,,,,,,,1,1,,1,1,1,1,1,,,,,,,,,,,,,,,,
1576,1,1,2,2,5,6,5,6,5,6,,,,,,,,,,,,,,,,,,,,,6,6,6,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,,,,,,,,,,,,,,
519,1,12,2,2,3,6,4,,5,4,,,6,,,,6,,,,,,,,,,,,,,6,5,5,,5,6,,,5,,,,5,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,,1,1,1,,,,,,,,,,,,,,,
1111,1,1,6,2,5,4,3,5,5,6,,,,,,4,,,,,,,,,,,,,,,5,6,5,6,6,6,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,1,,,,,,,,,,,,,,
1831,1,1,6,2,5,5,5,4,6,6,,,,,,,6,,,,,,,,,,,,,,4,5,3,2,3,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,
2258,2,3,5,2,7,7,7,,3,7,,7,,,7,,,,,,,,,,,,,,,,6,4,3,,5,7,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,,1,1,,,,,,,,,,,,,,
3315,1,13,7,2,7,,5,7,,7,,,,7,,7,7,,,,,,,,,,,,,,7,,5,7,,7,,,,7,,7,7,,,,,,,,,,,,,,,,,,,,1,,,1,,1,1,1,,1,,,,,,,,,,,,,,,,
520,1,12,2,2,7,7,6,4,6,5,,,,,4,,6,,,,,,,,,,,,,,5,5,6,4,5,5,,,,,5,,6,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,,,,,,,,,,,,,,
